Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:07,012719,80117CE60,016163,80D31EA50,28.17,US Dollar,28.17,US Dollar,Credit Card,0
2022/09/01 00:05,02843,800979350,02843,800979350,631901.50,US Dollar,631901.50,US Dollar,Reinvestment,0
2022/09/01 00:17,01467,80117F360,01467,80117F360,558968.18,US Dollar,558968.18,US Dollar,Reinvestment,0
2022/09/01 00:12,01467,80117F360,01467,80117F360,14.20,US Dollar,14.20,US Dollar,Reinvestment,0
2022/09/01 00:26,00220,801181460,00220,801181460,75104.02,US Dollar,75104.02,US Dollar,Reinvestment,0
2022/09/01 00:24,011405,801180E50,011405,801180E50,1468490.12,US Dollar,1468490.12,US Dollar,Reinvestment,0
2022/09/01 00:05,002824,801181E30,01420,801181ED0,391747.00,US Dollar,391747.00,US Dollar,ACH,0
2022/09/01 00:04,01420,801181ED0,008771,807809380,66.15,US Dollar,66.15,US Dollar,Credit Card,0
2022/09/01 00:23,022736,8011823A0,022736,8011823A0,286268.39,US Dollar,286268.39,US Dollar,Reinvestment,0
2022/09/01 00:16,011107,801180C80,011107,801180C80,15.69,US Dollar,15.69,US Dollar,Reinvestment,0
2022/09/01 00:14,002947,801183890,002947,801183890,14825.22,US Dollar,14825.22,US Dollar,Reinvestment,0
2022/09/01 00:07,001457,801183630,001457,801183630,153324.86,US Dollar,153324.86,US Dollar,Reinvestment,0
2022/09/01 00:19,01588,8011841A0,01588,8011841A0,1384.34,US Dollar,1384.34,US Dollar,Reinvestment,0
2022/09/01 00:26,032828,801184290,032828,801184290,469.37,US Dollar,469.37,US Dollar,Reinvestment,0
2022/09/01 00:00,001457,801183630,001457,801183630,21.12,US Dollar,21.12,US Dollar,Reinvestment,0
2022/09/01 00:01,01588,8011841A0,01588,8011841A0,15.50,US Dollar,15.50,US Dollar,Reinvestment,0
2022/09/01 00:22,022164,801185DD0,022164,801185DD0,108272.71,US Dollar,108272.71,US Dollar,Reinvestment,0
2022/09/01 00:27,001412,8011857D0,001412,8011857D0,2522864.26,US Dollar,2522864.26,US Dollar,Reinvestment,0
2022/09/01 00:10,021174,801186170,021174,801186170,715.21,US Dollar,715.21,US Dollar,Reinvestment,0
2022/09/01 00:09,01729,801185960,002947,80AAD36F0,7.45,US Dollar,7.45,US Dollar,Credit Card,0
2022/09/01 00:24,021174,801186170,021174,801186170,12.86,US Dollar,12.86,US Dollar,Reinvestment,0
2022/09/01 00:27,022736,801186BA0,022736,801186BA0,3.43,US Dollar,3.43,US Dollar,Reinvestment,0
2022/09/01 00:09,022828,801188200,022828,801188200,42248.34,US Dollar,42248.34,US Dollar,Reinvestment,0
2022/09/01 00:06,022828,801188200,022828,801188200,14.43,US Dollar,14.43,US Dollar,Reinvestment,0
2022/09/01 00:01,01729,8011890E0,01729,8011890E0,88082.14,US Dollar,88082.14,US Dollar,Reinvestment,0
2022/09/01 00:25,012735,8010B31E0,012735,8010B31E0,649062.81,US Dollar,649062.81,US Dollar,Reinvestment,0
2022/09/01 00:24,011974,80118A6C0,011974,80118A6C0,1927.65,US Dollar,1927.65,US Dollar,Reinvestment,0
2022/09/01 00:24,021940,80118ADB0,021940,80118ADB0,361245.95,US Dollar,361245.95,US Dollar,Reinvestment,0
2022/09/01 00:06,002845,80118A010,002845,80118A010,3087019.07,US Dollar,3087019.07,US Dollar,Reinvestment,0
2022/09/01 00:16,001686,80118AB90,001686,80118AB90,122.68,US Dollar,122.68,US Dollar,Reinvestment,0
2022/09/01 00:04,001068,800B34DF0,021550,80118A3D0,1079879.50,US Dollar,1079879.50,US Dollar,Cheque,0
2022/09/01 00:27,001068,800B34DF0,021550,80118A3D0,17233.96,US Dollar,17233.96,US Dollar,Credit Card,0
2022/09/01 00:14,001068,800B34DF0,021550,80118A3D0,3210172.19,US Dollar,3210172.19,US Dollar,Cash,0
2022/09/01 00:06,01420,80118A060,01420,80118A060,4.22,US Dollar,4.22,US Dollar,Reinvestment,0
2022/09/01 00:14,01674,80118A240,0120766,808D4FFD0,131.36,US Dollar,131.36,US Dollar,Credit Card,0
2022/09/01 00:28,00795,80118BBF0,00795,80118BBF0,7.82,US Dollar,7.82,US Dollar,Reinvestment,0
2022/09/01 00:17,021575,80118C270,021575,80118C270,999.36,US Dollar,999.36,US Dollar,Reinvestment,0
2022/09/01 00:10,002053,80118C450,002053,80118C450,744.66,US Dollar,744.66,US Dollar,Reinvestment,0
2022/09/01 00:16,00908,80118C900,00908,80118C900,775.49,US Dollar,775.49,US Dollar,Reinvestment,0
2022/09/01 00:19,001411,80118C9A0,001411,80118C9A0,4329.26,US Dollar,4329.26,US Dollar,Reinvestment,0
2022/09/01 00:12,011474,801189CD0,011474,801189CD0,8.65,US Dollar,8.65,US Dollar,Reinvestment,0
2022/09/01 00:16,00513,80118C310,00513,80118C310,18.69,US Dollar,18.69,US Dollar,Reinvestment,0
2022/09/01 00:28,002053,80118C450,002053,80118C450,14.60,US Dollar,14.60,US Dollar,Reinvestment,0
2022/09/01 00:19,00908,80118C4F0,00908,80118C4F0,19.27,US Dollar,19.27,US Dollar,Reinvestment,0
2022/09/01 00:04,01292,80118C7C0,004866,802AF0760,23.75,US Dollar,23.75,US Dollar,Credit Card,0
2022/09/01 00:24,00908,80118C900,00908,80118C900,15.46,US Dollar,15.46,US Dollar,Reinvestment,0
2022/09/01 00:05,011318,801189980,011318,801189980,21.37,US Dollar,21.37,US Dollar,Reinvestment,0
2022/09/01 00:21,001244,80118ED20,001244,80118ED20,1749831.07,US Dollar,1749831.07,US Dollar,Reinvestment,0
2022/09/01 00:28,001244,80118ED20,001244,80118ED20,19.06,US Dollar,19.06,US Dollar,Reinvestment,0
2022/09/01 00:13,00701,80118ED70,00701,80118ED70,24.03,US Dollar,24.03,US Dollar,Reinvestment,0
2022/09/01 00:17,01292,80118EDC0,01292,80118EDC0,20.92,US Dollar,20.92,US Dollar,Reinvestment,0
2022/09/01 00:04,022736,80118EAD0,022736,80118EAD0,24.13,US Dollar,24.13,US Dollar,Reinvestment,0
2022/09/01 00:05,001,801190250,001,801190250,157514.91,US Dollar,157514.91,US Dollar,Reinvestment,0
2022/09/01 00:21,021611,801187FC0,021611,801187FC0,20715.04,US Dollar,20715.04,US Dollar,Reinvestment,0
2022/09/01 00:28,002845,801188A60,002845,801188A60,13979.74,US Dollar,13979.74,US Dollar,Reinvestment,0
2022/09/01 00:19,001412,801189420,001412,801189420,4183.94,US Dollar,4183.94,US Dollar,Reinvestment,0
2022/09/01 00:09,03745,801189790,03745,801189790,40835.03,US Dollar,40835.03,US Dollar,Reinvestment,0
2022/09/01 00:16,03994,80118DA40,03994,80118DA40,23144.86,US Dollar,23144.86,US Dollar,Reinvestment,0
2022/09/01 00:18,011974,80118E310,011974,80118E310,3156.78,US Dollar,3156.78,US Dollar,Reinvestment,0
2022/09/01 00:04,021174,80118E4F0,021174,80118E4F0,1368.77,US Dollar,1368.77,US Dollar,Reinvestment,0
2022/09/01 00:04,01674,80118E630,01674,80118E630,242.49,US Dollar,242.49,US Dollar,Reinvestment,0
2022/09/01 00:04,002454,80118F6C0,002454,80118F6C0,234.54,US Dollar,234.54,US Dollar,Reinvestment,0
2022/09/01 00:27,022828,80118FBB0,022828,80118FBB0,18436.45,US Dollar,18436.45,US Dollar,Reinvestment,0
2022/09/01 00:02,002845,801188A60,002845,801188A60,15.26,US Dollar,15.26,US Dollar,Reinvestment,0
2022/09/01 00:02,001124,8011893D0,001124,8011893D0,15.15,US Dollar,15.15,US Dollar,Reinvestment,0
